Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
в			1	557	2	40382.803	1.000
и			2	507	2	36757.776	1.000
на			3	174	2	12615.095	1.000
с			4	143	2	10367.578	1.000
к			5	131	2	9497.571	1.000
не			6	115	2	8337.563	1.000
из			7	91	2	6597.549	1.000
по			8	86	2	6235.047	1.000
что			9	71	2	5147.539	1.000
а			10	66	2	4785.036	1.000
ее			11	62	2	4495.034	1.000
женщины			11	62	2	4495.034	1.000
как			13	58	2	4205.032	1.000
за			14	56	2	4060.030	1.000
до			15	54	2	3915.029	1.000
женщин			15	54	2	3915.029	1.000
для			17	52	2	3770.028	1.000
о			18	49	2	3552.527	1.000
от			19	48	2	3480.026	1.000
при			19	48	2	3480.026	1.000
то			21	47	2	3407.526	1.000
среди			22	45	2	3262.524	1.000
г			23	41	2	2972.522	1.000
т			24	40	2	2900.022	1.000
она			25	39	2	2827.521	1.000
или			26	37	2	2682.520	1.000
уже			26	37	2	2682.520	1.000
все			28	36	2	2610.020	1.000
так			29	35	2	2537.519	1.000
же			30	33	2	2392.518	1.000
его			31	32	2	2320.017	1.000
у			31	32	2	2320.017	1.000
дагестана			33	31	1	2247.517	0.500
еще			34	30	2	2175.016	1.000
время			35	29	2	2102.516	1.000
это			35	29	2	2102.516	1.000
д			37	28	2	2030.015	1.000
татарской			38	27	1	1957.515	0.500
под			39	26	2	1885.014	1.000
году			40	25	2	1812.514	1.000
того			40	25	2	1812.514	1.000
только			40	25	2	1812.514	1.000
власти			43	24	2	1740.013	1.000
м			43	24	2	1740.013	1.000
населения			43	24	2	1740.013	1.000
них			43	24	2	1740.013	1.000
они			43	24	2	1740.013	1.000
является			43	24	2	1740.013	1.000
здесь			49	23	2	1667.513	1.000
их			49	23	2	1667.513	1.000
но			49	23	2	1667.513	1.000
более			52	22	2	1595.012	1.000
была			52	22	2	1595.012	1.000
во			52	22	2	1595.012	1.000
года			52	22	2	1595.012	1.000
горянки			52	22	1	1595.012	0.500
если			52	22	2	1595.012	1.000
жизни			52	22	2	1595.012	1.000
после			52	22	2	1595.012	1.000
было			60	21	2	1522.511	1.000
горянок			60	21	1	1522.511	0.500
советской			60	21	2	1522.511	1.000
бы			63	20	2	1450.011	1.000
е			63	20	2	1450.011	1.000
женщина			63	20	2	1450.011	1.000
которые			63	20	2	1450.011	1.000
образом			63	20	2	1450.011	1.000
революции			63	20	2	1450.011	1.000
татар			63	20	1	1450.011	0.500
когда			70	19	2	1377.510	1.000
мы			70	19	2	1377.510	1.000
очень			70	19	2	1377.510	1.000
этого			70	19	2	1377.510	1.000
дагестане			74	18	1	1305.010	0.500
жениха			74	18	2	1305.010	1.000
между			74	18	2	1305.010	1.000
мужа			74	18	2	1305.010	1.000
он			74	18	2	1305.010	1.000
татарская			74	18	1	1305.010	0.500
человек			74	18	2	1305.010	1.000
без			81	17	2	1232.509	1.000
был			81	17	2	1232.509	1.000
кроме			81	17	2	1232.509	1.000
невесты			81	17	2	1232.509	1.000
татарского			81	17	1	1232.509	0.500
всего			86	16	2	1160.009	1.000
где			86	16	2	1160.009	1.000
н			86	16	2	1160.009	1.000
татарских			86	16	1	1160.009	0.500
тем			86	16	2	1160.009	1.000
цена			86	16	2	1160.009	1.000
этим			86	16	2	1160.009	1.000
б			93	15	2	1087.508	1.000
области			93	15	2	1087.508	1.000
почти			93	15	2	1087.508	1.000
также			93	15	2	1087.508	1.000
быта			97	14	2	1015.008	1.000
востока			97	14	2	1015.008	1.000
даже			97	14	2	1015.008	1.000
дело			97	14	2	1015.008	1.000
